,cv_auc_mean,cv_auc_std,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.7603066651450281,0.006820554848132865,0.7448333333333333,0.44333333333333336,0.6013564431047476,0.5103933482571155,0.7472844610229427
Random Forest,0.7854095414983265,0.005195536416504253,0.7711666666666667,0.48599269183922045,0.6013564431047476,0.5375547322330751,0.7772878265706037
Majority-class baseline,,,0.7788333333333333,0.0,0.0,0.0,0.5
